Time,FromRest,Run1,Run2,Run3,Run4,Run5,Run6,Run7,,MassAdded,T2,,,b
0.05,0.8111264,0.6785912,0.6316688,0.6330408,0.6363336,0.606424,0.611912,0.6217904,,0,8.671475999,,,0.002483
0.1,0.8114008,0.6783168,0.63112,0.6333152,0.6363336,0.6058752,0.611912,0.6220648,,20,7.419140916,,,0.002789
0.15,0.8114008,0.67914,0.6308456,0.6302968,0.6360592,0.6058752,0.611912,0.6217904,,40,6.890625,,,0.00277
0.2,0.8116752,0.6785912,0.6308456,0.6330408,0.6360592,0.6061496,0.611912,0.621516,,60,9.782995217,,,0.002722
0.25,0.8116752,0.67914,0.63112,0.6333152,0.6360592,0.6058752,0.6116376,0.6220648,,80,9.110865333,,,0.003052
0.3,0.8141448,0.6785912,0.63112,0.6333152,0.6363336,0.6061496,0.611912,0.6217904,,100,8.431078791,,,0.002996
0.35,0.812224,0.67914,0.6308456,0.6333152,0.636608,0.6061496,0.6116376,0.621516,,120,8.7025,,,0.002822
0.4,0.8141448,0.67914,0.6308456,0.6333152,0.636608,0.606424,0.6138328,0.6226136,,,,,Average,0.002804857
0.45,0.812224,0.6785912,0.6308456,0.6333152,0.6360592,0.6056008,0.6171256,0.6231624,,,,,StdDev,0.000173136
0.5,0.8119496,0.6794144,0.6305712,0.6333152,0.63798,0.6058752,0.6226136,0.6313944,,,,,Uncert,6.54393E-05
0.55,0.8141448,0.6827072,0.6313944,0.6344128,0.6426448,0.6061496,0.63112,0.6388032,,,,,,
0.6,0.8146936,0.687372,0.6335896,0.6377056,0.6484072,0.6072472,0.6415472,0.6481328,,,,,,
0.65,0.813596,0.6950552,0.6390776,0.6431936,0.6574624,0.6113632,0.654444,0.6596576,,,,,,
0.7,0.8152424,0.7041104,0.6467608,0.6517,0.6678896,0.6176744,0.6687128,0.6725544,,,,,,
0.75,0.819084,0.7145376,0.6563648,0.6621272,0.6799632,0.6264552,0.6851768,0.6881952,,,,,,
0.8,0.8215536,0.7274344,0.6689872,0.675024,0.6939576,0.6371568,0.7030128,0.7041104,,,,,,
0.85,0.8248464,0.7411544,0.6838048,0.6892928,0.7112448,0.6506024,0.723044,0.7222208,,,,,,
0.9,0.8281392,0.7576184,0.6994456,0.7060312,0.728532,0.66542,0.7441728,0.7417032,,,,,,
0.95,0.8319808,0.7746312,0.717556,0.7241416,0.7471912,0.6835304,0.7658504,0.762832,,,,,,
1,0.8366456,0.7924672,0.7375872,0.743624,0.7674968,0.702464,0.7883512,0.7839608,,,,,,
1.05,0.841036,0.810852,0.7584416,0.7647528,0.7889,0.723044,0.8116752,0.8078336,,,,,,
