n1,Run1,n2,Run2,n3,Run3,n4,Run4,n5,Run5,n6,Run6,n7,Run7,n8,Run8,,Run #,Mass (g),Length (cm),,,Mu
2,28.1,1,20.3,1,24.6,1,29.8,1,35.7,1,26.7,1,16.7,1,17.5,,1,200,167,,,0.0009034
3,42,2,40.1,2,51,2,57.8,2,68.5,2,54,2,33.6,2,38,,2,400,167,,,0.00091284
4,55.8,3,59.6,3,75.2,3,84.9,,,3,78.4,3,49.1,3,53.6,,3,400,132,,,0.00089224
5,70.3,4,78.5,4,100.3,,,,,4,105.9,4,62.7,4,73,,4,500,132,,,0.0008806
6,83.5,,,,,,,,,,,5,78,,,,5,500,109,,,0.00087984
,,,,,,,,,,,,,,,,,6,300,109,,,0.0008919
,,,,,,,,,,,,,,,,,7,100,109,,,0.00085604
,,,,,,,,,,,,,,,,,8,100,94,,,0.00083702
,,,,,,,,,,,,,,,,,,,,,Standard Dev,2.32248E-05
,,,,,,,,,,,,,,,,,,,,,Absolute Error,8.2112E-06
,,,,,,,,,,,,,,,,,,,,,Average,0.000881735
